Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 39: society (n). Academic frequency: 47060; ratio: 1.8920118576092499; dispersion: 0.93392720711246902; range: 8.
Rank 40: thus (r). Academic frequency: 46287; ratio: 2.6850561525021499; dispersion: 0.94890718670656204; range: 8.
Rank 41: control (n). Academic frequency: 45690; ratio: 1.6359486269395001; dispersion: 0.92689252674802003; range: 9.
Rank 42: form (n). Academic frequency: 45275; ratio: 1.89763877986121; dispersion: 0.94551410393692803; range: 8.
Rank 43: report (v). Academic frequency: 44666; ratio: 1.6394336368703799; dispersion: 0.91577105269688697; range: 8.
Rank 44: rate (n). Academic frequency: 44493; ratio: 1.6525366110613; dispersion: 0.93480385323638004; range: 8.
Rank 45: significant (j). Academic frequency: 44415; ratio: 2.4418374675905601; dispersion: 0.92995509913921803; range: 8.
Rank 46: figure (n). Academic frequency: 44084; ratio: 1.92447475070388; dispersion: 0.916874212282909; range: 8.
Rank 47: factor (n). Academic frequency: 43871; ratio: 2.4286311447214; dispersion: 0.92109827568880298; range: 8.
Rank 48: interest (n). Academic frequency: 43498; ratio: 1.50893712249317; dispersion: 0.94563956720862297; range: 9.
Rank 49: culture (n). Academic frequency: 42561; ratio: 2.0642573600059699; dispersion: 0.93050248241610101; range: 8.
Rank 50: need (n). Academic frequency: 42193; ratio: 1.81772093228009; dispersion: 0.94918740068639096; range: 9.
Rank 51: base (v). Academic frequency: 42082; ratio: 1.8024496439109301; dispersion: 0.95212606948906398; range: 9.
Rank 52: population (n). Academic frequency: 40902; ratio: 2.07631291276273; dispersion: 0.92033580806417103; range: 8.
Rank 53: international (j). Academic frequency: 40746; ratio: 1.6072336747815099; dispersion: 0.90816772007918201; range: 9.
Rank 54: technology (n). Academic frequency: 40104; ratio: 1.8430769697927101; dispersion: 0.88048501509480304; range: 9.
Rank 55: individual (n). Academic frequency: 39359; ratio: 2.3221795947046; dispersion: 0.929035353300529; range: 8.
Rank 56: type (n). Academic frequency: 38893; ratio: 1.85162877427044; dispersion: 0.929327722629812; range: 8.
Rank 57: describe (v). Academic frequency: 38500; ratio: 1.75400632219219; dispersion: 0.95186427769514004; range: 8.
Rank 58: indicate (v). Academic frequency: 38022; ratio: 2.3410010626013702; dispersion: 0.91980616138056703; range: 8.
Rank 59: image (n). Academic frequency: 38020; ratio: 1.69997841041083; dispersion: 0.88509688445795698; range: 8.
Rank 60: subject (n). Academic frequency: 37608; ratio: 2.01585516694032; dispersion: 0.94493411633692503; range: 8.
Rank 61: science (n). Academic frequency: 37253; ratio: 1.92365089119463; dispersion: 0.88100356402435898; range: 8.
Rank 62: material (n). Academic frequency: 37206; ratio: 1.9705673000074599; dispersion: 0.90577920672205103; range: 8.
Rank 63: produce (v). Academic frequency: 37198; ratio: 1.6461145145695599; dispersion: 0.91848496951284797; range: 9.
Rank 64: condition (n). Academic frequency: 36933; ratio: 1.8766569268180899; dispersion: 0.93957961666571599; range: 8.
Rank 65: identify (v). Academic frequency: 36820; ratio: 2.2182011010673701; dispersion: 0.93825152968799397; range: 8.
Rank 66: knowledge (n). Academic frequency: 36633; ratio: 2.3563265637348398; dispersion: 0.94022022581224796; range: 8.
Rank 67: support (n). Academic frequency: 36597; ratio: 1.7015342407935199; dispersion: 0.93651632908537696; range: 8.
Rank 68: performance (n). Academic frequency: 36344; ratio: 1.96267402245487; dispersion: 0.92321369949861398; range: 9.
Rank 69: project (n). Academic frequency: 36260; ratio: 1.51035047670249; dispersion: 0.92326599201318704; range: 9.
Rank 70: response (n). Academic frequency: 36231; ratio: 2.0754505659765199; dispersion: 0.93913867947748597; range: 8.
Rank 71: approach (n). Academic frequency: 36092; ratio: 2.1351108427293299; dispersion: 0.95153219777241904; range: 8.
Rank 72: support (v). Academic frequency: 36072; ratio: 1.5185058200814201; dispersion: 0.94945451932538405; range: 8.
Rank 73: period (n). Academic frequency: 35597; ratio: 1.80173832982917; dispersion: 0.946495037289112; range: 9.
Rank 74: organization (n). Academic frequency: 35398; ratio: 1.70369941045178; dispersion: 0.94315696586364095; range: 9.
Rank 75: increase (v). Academic frequency: 35289; ratio: 1.8885172169242801; dispersion: 0.93486517350644505; range: 9.
Rank 76: environmental (j). Academic frequency: 35191; ratio: 2.2555354793937101; dispersion: 0.86580416795256199; range: 7.
Rank 77: source (n). Academic frequency: 34883; ratio: 1.6966596973955199; dispersion: 0.93716127179312603; range: 9.
Rank 78: nature (n). Academic frequency: 34413; ratio: 1.90586433051027; dispersion: 0.93626519001583697; range: 8.
Rank 79: cultural (j). Academic frequency: 34239; ratio: 2.4649129648132799; dispersion: 0.91395063723745096; range: 8.
Rank 80: resource (n). Academic frequency: 33989; ratio: 2.06674373068646; dispersion: 0.93281982307441302; range: 9.
Rank 81: century (n). Academic frequency: 33736; ratio: 1.67716731249716; dispersion: 0.93079602967026298; range: 7.
Rank 82: strategy (n). Academic frequency: 33515; ratio: 2.1900858700332302; dispersion: 0.94417021380747101; range: 9.
Rank 83: theory (n). Academic frequency: 33143; ratio: 2.3598113073061602; dispersion: 0.93751221618676095; range: 8.
Rank 84: product (n). Academic frequency: 33132; ratio: 1.53403735179657; dispersion: 0.905142942052651; range: 9.
Rank 85: method (n). Academic frequency: 33105; ratio: 2.4878761193401; dispersion: 0.93119478104730402; range: 8.
Rank 86: goal (n). Academic frequency: 33049; ratio: 1.7861124373323201; dispersion: 0.94846941509334703; range: 9.
Rank 87: likely (j). Academic frequency: 32958; ratio: 1.6846760921277899; dispersion: 0.94290808231624201; range: 9.
Rank 88: note (v). Academic frequency: 32829; ratio: 1.8660702797536599; dispersion: 0.95512643750641102; range: 9.
Rank 89: represent (v). Academic frequency: 32705; ratio: 1.8100406889968901; dispersion: 0.94449895076281998; range: 8.
Rank 90: general (j). Academic frequency: 31754; ratio: 1.6567004891058801; dispersion: 0.96040214723185702; range: 9.
Rank 91: article (n). Academic frequency: 31513; ratio: 1.8487061118822401; dispersion: 0.95441921900570803; range: 8.
Rank 92: similar (j). Academic frequency: 31385; ratio: 1.8966788690287399; dispersion: 0.94358763311444205; range: 9.
Rank 93: environment (n). Academic frequency: 31116; ratio: 2.0835967188151598; dispersion: 0.92410040714908503; range: 8.
Rank 94: language (n). Academic frequency: 31095; ratio: 1.78594472745107; dispersion: 0.92948003545852798; range: 8.
Rank 95: determine (v). Academic frequency: 31067; ratio: 1.94541760730202; dispersion: 0.93789783186879505; range: 8.
Rank 96: structure (n). Academic frequency: 30887; ratio: 2.3051616813704698; dispersion: 0.92617778498773695; range: 8.
Rank 97: section (n). Academic frequency: 30856; ratio: 2.0495291179549202; dispersion: 0.91199294808874698; range: 9.
Rank 98: common (j). Academic frequency: 30755; ratio: 1.7832353502053599; dispersion: 0.95640689788604705; range: 9.
Rank 99: occur (v). Academic frequency: 30702; ratio: 1.9143790057082899; dispersion: 0.93550800276838697; range: 8.
Rank 100: current (j). Academic frequency: 30626; ratio: 1.6718580236437799; dispersion: 0.94359730415598697; range: 9.
Rank 101: available (j). Academic frequency: 30610; ratio: 1.56392552194515; dispersion: 0.92081105621026205; range: 9.
Rank 102: present (v). Academic frequency: 30357; ratio: 1.97128745914777; dispersion: 0.95446372505878097; range: 8.
Rank 103: term (n). Academic frequency: 29927; ratio: 1.60738795657281; dispersion: 0.94993616615793097; range: 9.
Rank 104: reduce (v). Academic frequency: 29853; ratio: 1.6853626477430701; dispersion: 0.92288846178691997; range: 9.
Rank 105: measure (n). Academic frequency: 29534; ratio: 2.1645093141317502; dispersion: 0.930293444501889; range: 8.
Rank 106: involve (v). Academic frequency: 29330; ratio: 1.6028091934401101; dispersion: 0.95870554386169504; range: 8.
Rank 107: movement (n). Academic frequency: 29315; ratio: 1.68282694589419; dispersion: 0.93464613261887397; range: 8.
Rank 108: specific (j). Academic frequency: 28840; ratio: 2.2223503736095802; dispersion: 0.94593932729724794; range: 8.
Rank 109: focus (v). Academic frequency: 28692; ratio: 1.57172160090124; dispersion: 0.95246474316945495; range: 9.
Rank 110: region (n). Academic frequency: 28595; ratio: 1.82064030204661; dispersion: 0.90497663200016598; range: 8.
Rank 111: relate (v). Academic frequency: 28592; ratio: 2.3547623135384002; dispersion: 0.93174185743155302; range: 8.
Rank 112: individual (j). Academic frequency: 28495; ratio: 2.1861434929834598; dispersion: 0.95014748309393304; range: 9.
Rank 113: quality (n). Academic frequency: 28155; ratio: 1.7538155754670299; dispersion: 0.94441692057884696; range: 9.
Rank 114: establish (v). Academic frequency: 27926; ratio: 2.0025264911631102; dispersion: 0.95101521784066101; range: 8.
Rank 115: author (n). Academic frequency: 27714; ratio: 1.5068092208005801; dispersion: 0.95772480763435397; range: 9.
Rank 116: seek (v). Academic frequency: 27629; ratio: 1.5315571047419201; dispersion: 0.94702500670041101; range: 9.
Rank 117: compare (v). Academic frequency: 27616; ratio: 1.85565194559469; dispersion: 0.93360303493360097; range: 9.
Rank 118: growth (n). Academic frequency: 27328; ratio: 1.74858695183491; dispersion: 0.945602773677507; range: 9.
Rank 119: natural (j). Academic frequency: 27263; ratio: 1.5960913153417; dispersion: 0.91299718452804601; range: 8.
Rank 120: various (j). Academic frequency: 27132; ratio: 1.9024993395377201; dispersion: 0.94867850909136198; range: 8.
Rank 121: standard (n). Academic frequency: 26890; ratio: 1.7460219372355299; dispersion: 0.94438585897877902; range: 9.
Rank 122: example (n). Academic frequency: 26843; ratio: 1.8414864294481901; dispersion: 0.94799253257965399; range: 9.
Rank 123: management (n). Academic frequency: 26648; ratio: 1.91452953547756; dispersion: 0.91546530377256496; range: 8.
Rank 124: scale (n). Academic frequency: 26610; ratio: 2.4975816903698602; dispersion: 0.90902342944246195; range: 8.
Rank 125: argue (v). Academic frequency: 26358; ratio: 1.6797073493479899; dispersion: 0.93658261086669203; range: 8.
Rank 126: degree (n). Academic frequency: 26200; ratio: 1.6764116707433601; dispersion: 0.93534948427985498; range: 8.
Rank 127: design (n). Academic frequency: 26112; ratio: 1.7269196702282501; dispersion: 0.861136459051837; range: 9.
Rank 128: concern (n). Academic frequency: 25937; ratio: 1.52080093112301; dispersion: 0.95115573458048996; range: 8.
Rank 129: state (v). Academic frequency: 25860; ratio: 1.7382916467384699; dispersion: 0.94637973033557898; range: 8.
Rank 130: therefore (r). Academic frequency: 25808; ratio: 2.3551381470404702; dispersion: 0.95458935182032101; range: 8.
Rank 131: examine (v). Academic frequency: 25731; ratio: 2.3246654496169898; dispersion: 0.91378740327972896; range: 8.
Rank 132: pattern (n). Academic frequency: 25705; ratio: 2.0700614563912998; dispersion: 0.92715024274719304; range: 8.
Rank 133: researcher (n). Academic frequency: 25445; ratio: 2.34227842678035; dispersion: 0.88863708348354098; range: 7.
Rank 134: task (n). Academic frequency: 25244; ratio: 2.0922177971365601; dispersion: 0.93421222039260698; range: 8.
Rank 135: traditional (j). Academic frequency: 25145; ratio: 1.88252234102342; dispersion: 0.94903574615314501; range: 9.
Rank 136: finding (n). Academic frequency: 24873; ratio: 2.8029163658604701; dispersion: 0.89846735171275705; range: 8.
Rank 137: positive (j). Academic frequency: 24803; ratio: 2.0340986255407798; dispersion: 0.92197429551008103; range: 8.
Rank 138: central (j). Academic frequency: 24774; ratio: 1.53225051553769; dispersion: 0.93733223311497504; range: 8.
Rank 139: act (n). Academic frequency: 24769; ratio: 1.57549237044072; dispersion: 0.92258279652253405; range: 8.
Rank 140: impact (n). Academic frequency: 24599; ratio: 1.79464090513786; dispersion: 0.92545658186962698; range: 8.
Rank 141: reflect (v). Academic frequency: 24309; ratio: 1.94475825601487; dispersion: 0.94931062652289899; range: 8.
Rank 142: recognize (v). Academic frequency: 24165; ratio: 1.55790211195374; dispersion: 0.95584583120270905; range: 8.
Rank 143: context (n). Academic frequency: 24121; ratio: 2.6743659488915399; dispersion: 0.93506611059585998; range: 8.
Rank 144: relation (n). Academic frequency: 23867; ratio: 2.1320583147641701; dispersion: 0.91574576726102697; range: 8.
Rank 145: maintain (v). Academic frequency: 23831; ratio: 1.79034874428568; dispersion: 0.95109664638133196; range: 9.
Rank 146: African (j). Academic frequency: 23820; ratio: 2.21399535860485; dispersion: 0.909087588492967; range: 8.
Rank 147: concept (n). Academic frequency: 23812; ratio: 2.3148847673081598; dispersion: 0.945769282389471; range: 8.
Rank 148: discussion (n). Academic frequency: 23781; ratio: 1.9432751902723999; dispersion: 0.95132592205273703; range: 8.
Rank 149: associate (v). Academic frequency: 23565; ratio: 2.4943303400765702; dispersion: 0.92321384675840501; range: 8.
Rank 150: design (v). Academic frequency: 23346; ratio: 1.64618888852253; dispersion: 0.91204573895045504; range: 9.
Rank 151: particularly (r). Academic frequency: 23286; ratio: 1.50536321761806; dispersion: 0.95183467486543005; range: 9.
Rank 152: purpose (n). Academic frequency: 23214; ratio: 1.8818354967670401; dispersion: 0.95196949500655403; range: 8.
Rank 153: address (v). Academic frequency: 23176; ratio: 1.8663544433415; dispersion: 0.95170169158861895; range: 8.
Rank 154: define (v). Academic frequency: 23125; ratio: 2.21816854875896; dispersion: 0.952730262369748; range: 8.
Rank 155: particular (j). Academic frequency: 23040; ratio: 1.78365739907504; dispersion: 0.949911847237906; range: 8.
Rank 156: benefit (n). Academic frequency: 23018; ratio: 1.5228729331931701; dispersion: 0.94761308797747101; range: 9.
Rank 157: survey (n). Academic frequency: 22873; ratio: 2.21327665942027; dispersion: 0.91632442795875102; range: 9.
Rank 158: effective (j). Academic frequency: 22853; ratio: 2.0675333478922502; dispersion: 0.94420558458081005; range: 8.
Rank 159: apply (v). Academic frequency: 22641; ratio: 1.73307408140903; dispersion: 0.94643321442474304; range: 9.
Rank 160: contain (v). Academic frequency: 22632; ratio: 1.7728850012109001; dispersion: 0.92418199817249203; range: 8.
Rank 161: understanding (n). Academic frequency: 22450; ratio: 2.3034068910510599; dispersion: 0.94724904543056698; range: 8.
Rank 162: production (n). Academic frequency: 22378; ratio: 1.7284721396382601; dispersion: 0.91795985289864102; range: 9.
Rank 163: form (v). Academic frequency: 22341; ratio: 1.63365069518784; dispersion: 0.90951616999394003; range: 8.
Rank 164: association (n). Academic frequency: 22245; ratio: 1.63788390052341; dispersion: 0.95646767229390395; range: 9.
Rank 165: reveal (v). Academic frequency: 22238; ratio: 1.6823301545829199; dispersion: 0.94489010072645896; range: 8.
Rank 166: range (n). Academic frequency: 22219; ratio: 1.7433796434061499; dispersion: 0.91170684049597195; range: 9.
Rank 167: affect (v). Academic frequency: 22206; ratio: 1.7257697685288; dispersion: 0.93928883438787203; range: 8.
Rank 168: attitude (n). Academic frequency: 22142; ratio: 2.05165866637872; dispersion: 0.921149253686813; range: 8.
Rank 169: status (n). Academic frequency: 22138; ratio: 2.1055566777196799; dispersion: 0.93517354871818803; range: 8.
Rank 170: necessary (j). Academic frequency: 22087; ratio: 1.76220364596241; dispersion: 0.95750620986638102; range: 8.
Rank 171: function (n). Academic frequency: 21755; ratio: 2.5353480032455602; dispersion: 0.93767120080728295; range: 8.
Rank 172: indeed (r). Academic frequency: 21728; ratio: 1.5447287110578001; dispersion: 0.94407823915911804; range: 9.
Rank 173: present (j). Academic frequency: 21652; ratio: 2.33137768913826; dispersion: 0.93440648178585195; range: 8.
Rank 174: global (j). Academic frequency: 21589; ratio: 1.84469991096327; dispersion: 0.91844433448488805; range: 9.
Rank 175: conflict (n). Academic frequency: 21511; ratio: 2.0325618872728999; dispersion: 0.91670625610800005; range: 8.
Rank 176: achieve (v). Academic frequency: 21493; ratio: 1.9891016444312799; dispersion: 0.95568472356038703; range: 8.
Rank 177: conduct (v). Academic frequency: 21428; ratio: 1.9817766710186899; dispersion: 0.93136098405641898; range: 8.
Rank 178: critical (j). Academic frequency: 21381; ratio: 1.9292259608842; dispersion: 0.95158916313508501; range: 8.
Rank 179: perform (v). Academic frequency: 21379; ratio: 1.66497194711692; dispersion: 0.93705819930525502; range: 9.
Rank 180: discuss (v). Academic frequency: 21017; ratio: 1.53318528148666; dispersion: 0.95379248084477997; range: 8.
Rank 181: exist (v). Academic frequency: 20901; ratio: 1.7326398958609599; dispersion: 0.94629491153491996; range: 8.
Rank 182: improve (v). Academic frequency: 20714; ratio: 1.6539783385498299; dispersion: 0.93730815310654703; range: 9.
Rank 183: observe (v). Academic frequency: 20645; ratio: 2.1982758840699002; dispersion: 0.91549574996536598; range: 8.
Rank 184: demonstrate (v). Academic frequency: 20624; ratio: 2.2977749556504601; dispersion: 0.951775713670861; range: 8.
Rank 185: unit (n). Academic frequency: 20604; ratio: 1.6311351157224301; dispersion: 0.89867950255919904; range: 9.
Rank 186: total (j). Academic frequency: 20559; ratio: 1.68735153299914; dispersion: 0.93722478386172003; range: 9.
Rank 187: modern (j). Academic frequency: 20470; ratio: 1.72405350315018; dispersion: 0.935185839218454; range: 8.
Rank 188: literature (n). Academic frequency: 20400; ratio: 2.5215296400085001; dispersion: 0.92817357151842295; range: 8.
Rank 189: result (v). Academic frequency: 20138; ratio: 2.2139716447405502; dispersion: 0.94079262639412897; range: 8.
Rank 190: experience (v). Academic frequency: 20056; ratio: 1.89482412639956; dispersion: 0.93338640453043997; range: 8.
Rank 191: principle (n). Academic frequency: 20005; ratio: 2.1751734431690899; dispersion: 0.94017775594018005; range: 8.
Rank 192: element (n). Academic frequency: 19799; ratio: 1.9499341355216699; dispersion: 0.93461802907435498; range: 8.
Rank 193: challenge (n). Academic frequency: 19765; ratio: 1.5325945398907099; dispersion: 0.95066496707083303; range: 9.
Rank 194: control (v). Academic frequency: 19621; ratio: 1.52857088200602; dispersion: 0.93367391179513604; range: 9.
Rank 195: historical (j). Academic frequency: 19615; ratio: 2.33920257135886; dispersion: 0.91079342823533405; range: 7.
Rank 196: aspect (n). Academic frequency: 19409; ratio: 2.1561655644276301; dispersion: 0.94744419202205199; range: 8.
Rank 197: perspective (n). Academic frequency: 19185; ratio: 2.1527264846959402; dispersion: 0.94513981614737097; range: 8.
Rank 198: basic (j). Academic frequency: 19145; ratio: 1.8052003211488199; dispersion: 0.95245271039920898; range: 9.
Rank 199: measure (v). Academic frequency: 19093; ratio: 2.15879868592374; dispersion: 0.90694241587949098; range: 9.
Rank 200: tradition (n). Academic frequency: 19091; ratio: 1.9341714405014301; dispersion: 0.90583120268583694; range: 7.
Rank 201: belief (n). Academic frequency: 19073; ratio: 2.1416002798381499; dispersion: 0.918810957148124; range: 8.
Rank 202: western (j). Academic frequency: 19006; ratio: 1.6695398693424299; dispersion: 0.91768825727351699; range: 8.
Rank 203: procedure (n). Academic frequency: 18907; ratio: 2.1249371219833; dispersion: 0.93289054441190999; range: 8.
Rank 204: test (v). Academic frequency: 18883; ratio: 1.58069574084075; dispersion: 0.90092176670299795; range: 9.
Rank 205: category (n). Academic frequency: 18881; ratio: 2.2539717599074902; dispersion: 0.93458139381347904; range: 9.
Rank 206: tend (v). Academic frequency: 18816; ratio: 1.60595467226499; dispersion: 0.95375344051629896; range: 9.
Rank 207: technique (n). Academic frequency: 18672; ratio: 2.0428579154970699; dispersion: 0.91401927340064104; range: 8.
Rank 208: outcome (n). Academic frequency: 18636; ratio: 2.5579401193904099; dispersion: 0.92184678406017295; range: 8.
Rank 209: significantly (r). Academic frequency: 18615; ratio: 2.73518010235694; dispersion: 0.915098969377938; range: 8.
Rank 210: generally (r). Academic frequency: 18534; ratio: 1.8305488483318699; dispersion: 0.95072255721741095; range: 9.
Rank 211: future (j). Academic frequency: 18385; ratio: 1.8810399595793901; dispersion: 0.93668504908951999; range: 9.
Rank 212: mean (n). Academic frequency: 18373; ratio: 2.0704371161482098; dispersion: 0.95168978173848795; range: 8.
Rank 213: importance (n). Academic frequency: 18368; ratio: 2.3837954325513699; dispersion: 0.93944392445712999; range: 8.
Rank 214: application (n). Academic frequency: 18335; ratio: 2.3109906818543799; dispersion: 0.87128892419460402; range: 9.
Rank 215: feature (n). Academic frequency: 18310; ratio: 1.7761120397410399; dispersion: 0.886478015765224; range: 9.
Rank 216: influence (n). Academic frequency: 18105; ratio: 2.0698794139340899; dispersion: 0.93676315698147505; range: 8.
Rank 217: basis (n). Academic frequency: 17933; ratio: 1.9374882259316999; dispersion: 0.95490004149664998; range: 9.
Rank 218: interaction (n). Academic frequency: 17901; ratio: 3.01471443623775; dispersion: 0.912085633326992; range: 8.
Rank 219: refer (v). Academic frequency: 17809; ratio: 1.6927197714768201; dispersion: 0.95192150933545305; range: 8.
Rank 220: communication (n). Academic frequency: 17757; ratio: 1.79969648208039; dispersion: 0.94847026620224595; range: 9.
Rank 221: negative (j). Academic frequency: 17740; ratio: 2.1519499323917102; dispersion: 0.92114640017947202; range: 8.
Rank 222: primary (j). Academic frequency: 17725; ratio: 2.1772841828107898; dispersion: 0.94457271727514303; range: 8.
Rank 223: characteristic (n). Academic frequency: 17663; ratio: 2.91738511342378; dispersion: 0.922878712844176; range: 8.
Rank 224: European (j). Academic frequency: 17512; ratio: 1.81323036499964; dispersion: 0.91369095645004705; range: 9.
Rank 225: lack (n). Academic frequency: 17504; ratio: 1.7511946220717101; dispersion: 0.94990650478141803; range: 8.
Rank 226: obtain (v). Academic frequency: 17489; ratio: 2.3214286557731398; dispersion: 0.92905815091522703; range: 8.
Rank 227: potential (j). Academic frequency: 17472; ratio: 1.7981354610956599; dispersion: 0.94148897660781705; range: 9.
Rank 228: variety (n). Academic frequency: 17471; ratio: 1.6778086594108299; dispersion: 0.93493272161097296; range: 9.
Rank 229: component (n). Academic frequency: 17228; ratio: 2.53873298717961; dispersion: 0.91252501345500003; range: 8.
Rank 230: following (j). Academic frequency: 17205; ratio: 2.10778940231963; dispersion: 0.95157765505560099; range: 9.
Rank 231: access (n). Academic frequency: 17146; ratio: 1.5539858406399001; dispersion: 0.942886449799059; range: 9.
Rank 232: contribute (v). Academic frequency: 17112; ratio: 1.8351972107555701; dispersion: 0.95124977443329695; range: 9.
Rank 233: assume (v). Academic frequency: 16971; ratio: 1.5345504170162101; dispersion: 0.95394872727631796; range: 9.
Rank 234: express (v). Academic frequency: 16963; ratio: 1.76169925815354; dispersion: 0.94577238175739398; range: 8.
Rank 235: tool (n). Academic frequency: 16929; ratio: 1.7613548704784401; dispersion: 0.888233162759132; range: 9.
Rank 236: promote (v). Academic frequency: 16903; ratio: 1.83429996141713; dispersion: 0.952157135174314; range: 8.
Rank 237: participate (v). Academic frequency: 16873; ratio: 2.0642992623813798; dispersion: 0.92571189698608902; range: 8.
Rank 238: labor (n). Academic frequency: 16780; ratio: 1.5660508388466401; dispersion: 0.90238415190741905; range: 9.
Rank 239: engage (v). Academic frequency: 16753; ratio: 1.88502951551738; dispersion: 0.93624924262854003; range: 8.
Rank 240: review (n). Academic frequency: 16718; ratio: 1.81856361951125; dispersion: 0.94309695872469201; range: 8.
Rank 241: additional (j). Academic frequency: 16683; ratio: 1.8096966326280399; dispersion: 0.93244812702667201; range: 9.
Rank 242: highly (r). Academic frequency: 16676; ratio: 1.83100235737563; dispersion: 0.94834749344799696; range: 9.
Rank 243: appropriate (j). Academic frequency: 16638; ratio: 2.0749879189938101; dispersion: 0.94631196565905795; range: 8.
Rank 244: publish (v). Academic frequency: 16448; ratio: 1.5196341402164899; dispersion: 0.94215987939351598; range: 9.
Rank 245: encourage (v). Academic frequency: 16413; ratio: 1.59390904133375; dispersion: 0.95891778985592702; range: 9.
